1312814435;Niels Holm;20210412;1000;covaxx;kbh
708614815;Palle Poul Hansen-Jensen;20210413;1015;divoc;hill
709614029;Adam Jakobsen;20210415;1020;blast3000;aarhus
702614074;Tove Andreasen;20210417;1030;aspera;kolding
703614116;Jytte Henningsen;20210412;1040;covaxx;odense
709614096;Bettina Christiansen;20210525;1100;divoc;nakskov
712614382;Karin Henriksen;20210501;900;blast3000;kbh
901414025;Arne Henriksen;20210412;945;aspera;hill
705614857;Tage Olsen;20210503;1300;covaxx;aarhus
708614319;Christian Svanholm-Nielsen;20210412;1000;divoc;kolding
703610013;Sven Holst;20210412;1000;blast3000;odense
112947728;Lissen Viola Larsson;20210430;1000;aspera;nakskov
109664847;Karl Peter Billeskov;20210412;1000;covaxx;kbh
902410058;Hilda Hansen Holst;20210504;1000;divoc;hill
2507847776;Tusnilda Kamma Olsen;20210512;1000;blast3000;aarhus
1312814435;Niels Holm;20210612;1000;covaxx;kbh
708614815;Palle Poul Hansen-Jensen;20210613;1015;divoc;hill
709614029;Adam Jakobsen;20210615;1020;blast3000;aarhus
702614074;Tove Andreasen;20210617;1030;aspera;kolding
703614116;Jytte Henningsen;20210612;1040;covaxx;odense
709614096;Bettina Christiansen;20210725;1100;divoc;nakskov
712614382;Karin Henriksen;20210701;900;blast3000;kbh
901414025;Arne Henriksen;20210612;945;aspera;hill
705614857;Tage Olsen;20210703;1300;covaxx;aarhus
708614319;Christian Svanholm-Nielsen;20210612;1000;divoc;kolding
703610013;Sven Holst;20210612;1000;blast3000;odense
112947728;Lissen Viola Larsson;20210630;1000;aspera;nakskov
109664847;Karl Peter Billeskov;20210612;1000;covaxx;kbh
902410058;Hilda Hansen Holst;20210704;1000;divoc;hill
2507847776;Tusnilda Kamma Olsen;20210712;1000;blast3000;aarhus
